Interviewee's name,Mentioned Name,Start_location,End_location,Sentence
John Coster-Mullen,Kelly,10,15,I’m Cindy Kelly.
John Coster-Mullen,John,85,89,", and I’m with John Coster-Mullen."
John Coster-Mullen,Little,979,985,"It wasn’t until I was in seventh grade, almost near 1960, that the first photographs of Little Boy and Fat Man, the two weapons that destroyed—that were dropped on Hiroshima and Nagasaki, were declassified."
John Coster-Mullen,Henry,1176,1181,"I remember Henry Luce, who was the head ofTime-Life, he was the most important media magnate in the country."
Floy Agnes Lee,Kelly,10,15,I’m Cindy Kelly.
Floy Agnes Lee,Agnes,86,91,"This is Monday, February 6, 2017, and I’m with Floy Agnes Lee, better known as “Aggie."
Floy Agnes Lee,Lee,92,95,"This is Monday, February 6, 2017, and I’m with Floy Agnes Lee, better known as “Aggie."
Floy Agnes Lee,Edward,1221,1227,"When I graduated from university, the professor [Edward] Castetter, who was head of the biology department, asked me to stay another month and do some research for him, which I had been doing."
Matias A. Zamora,Fuller,1616,1622,You were assigned to work at the [Fuller] Lodge right away.
Matias A. Zamora,Lodge,1624,1629,You were assigned to work at the [Fuller] Lodge right away.
Matias A. Zamora,Leo,1807,1810,His name was Leo Roybal from Pojoaque.
Matias A. Zamora,Roy,1811,1814,His name was Leo Roybal from Pojoaque.
Matias A. Zamora,Manuel,2008,2014,"First name was Manuel, but I don’t remember his last name."
Eulalia Quintana Newton,Max,1363,1366,"Gradually, I went from clerk to clerk stenographer, and I worked for a man called Max Wishnefski, who was originally from Oak Ridge, Tennessee."
Eulalia Quintana Newton,Davis,1559,1564,His name was Major Davis.
Eulalia Quintana Newton,Martin,1634,1640,"Then it became the Finance Division, and I went to work for Colonel Martin."
Stanley Hall,Kelly,10,15,"I’m Cindy Kelly, Atomic Heritage  Foundation, and we are in Los Alamos, New Mexico."
Stanley Hall,Stanley,126,133,Stanley Hall.
Stanley Hall,Hall,134,138,Stanley Hall.
Stanley Hall,Joe,1484,1487,"So I went and I was interviewed by  Joe Fowler, who you probably— Tell us who he was."
Stanley Hall,Fowler,1488,1494,"So I went and I was interviewed by  Joe Fowler, who you probably— Tell us who he was."
Stanley Hall,Bob,1596,1599,"After Bob Wilson  retired or left, then he became the group leader."
Stanley Hall,Wilson,1600,1606,"After Bob Wilson  retired or left, then he became the group leader."
Jay Shelton,Kelly,10,15,"I’m Cindy Kelly, Atomic Heritage Foundation, here in Santa Fe, New Mexico."
Jay Shelton,Jay,124,127,I have with me Jay Shelton.
Jay Shelton,Shelton,128,135,I have with me Jay Shelton.
Clay Kemper Perkins’ Interview,Kelly,41,46,"I am Cindy Kelly, Atomic Heritage Foundation."
Clay Kemper Perkins’ Interview,Clay,115,119,"I am in Albuquerque, New  Mexico, with Clay K."
Clay Kemper Perkins’ Interview,Perkins,123,130,Perkins.
Clay Kemper Perkins’ Interview,Kemp,223,227,"It’s Clay, middle initial K for Kemper, last name Perkins."
Bruce Cameron Reed,Kelly,46,51,"I’m Cindy Kelly, Atomic Heritage Foundation."
Bruce Cameron Reed,Bruce,114,119,", with Bruce Cameron Reed."
Bruce Cameron Reed,Cameron,120,127,", with Bruce Cameron Reed."
Bruce Cameron Reed,Reed,128,132,", with Bruce Cameron Reed."
Bruce Cameron Reed,John,548,552,"I can remember in grade school watching John Glenn and Alan Shephard and all these guys, and it was so exciting and exotic."
Bruce Cameron Reed,Glenn,553,558,"I can remember in grade school watching John Glenn and Alan Shephard and all these guys, and it was so exciting and exotic."
Bruce Cameron Reed,Alan,563,567,"I can remember in grade school watching John Glenn and Alan Shephard and all these guys, and it was so exciting and exotic."
Bruce Cameron Reed,Richard,1722,1729,"I guess like so many people that come to this, I read Richard Rhodes’ book [The Making of the Atomic Bomb] when it first came out."
Bruce Cameron Reed,Rhodes,1730,1736,"I guess like so many people that come to this, I read Richard Rhodes’ book [The Making of the Atomic Bomb] when it first came out."
Nick Salazar,Nick,15,19,"Nick Salazar, we want   to interview you because we know you remember a lot of things about  Los  Alamos."
Lydia Martinez,Lydia,0,5,"Lydia, where are you from? Where were you born? I was born in El Rancho, close to San Ildefonso Pueblo."
Lydia Martinez,Carroll,435,442,They lived right across from the [Carroll “Red” and Helen] Gordons in a Sundtapartment.
Lydia Martinez,Helen,453,458,They lived right across from the [Carroll “Red” and Helen] Gordons in a Sundtapartment.
Lydia Martinez,Gordon,460,466,They lived right across from the [Carroll “Red” and Helen] Gordons in a Sundtapartment.
Isabel Torres,Manuel,123,129,"My father’s name was Manuel Antonio Vigil, and my mother’s name was Carmelita Esquivel Vigil."
Isabel Torres,Antonio,130,137,"My father’s name was Manuel Antonio Vigil, and my mother’s name was Carmelita Esquivel Vigil."
Isabel Torres,Ramon,1731,1736,"Who were the bus drivers that used to drive from the community of Santa Cruz to Los Alamos? After the soldiers stopped driving, one of our drivers was Ramon Romero."
Isabel Torres,Romero,1737,1743,"Who were the bus drivers that used to drive from the community of Santa Cruz to Los Alamos? After the soldiers stopped driving, one of our drivers was Ramon Romero."
Isabel Torres,Gomez,1786,1791,And another one was Miguel Gomez.
Milton Levenson,Kelly,16,21,"I’m Cindy Kelly, I’m in Alexandria, Virginia."
Milton Levenson,Milton,92,98,I have with me Milton Levenson.
Rachel Erlanger,Kelly,72,77,"My name is Cindy Kelly, and I am here with Rachel Erlanger."
Rachel Erlanger,Rachel,98,104,"My name is Cindy Kelly, and I am here with Rachel Erlanger."
Rachel Erlanger,Gertrude,237,245,"R-a-c-h-e-l and Erlanger, E-r-l-a-n-g as in Gertrude, -e-r."
Rachel Erlanger,Frank,403,408,"What was your maiden name? My maiden name was Fenichel: F-e, that’s F as in Frank, -e-n-i-c-h-e-l."
Rachel Erlanger,Augusta,664,671,Who were your parents? My mother Augusta Bloom—that was her maiden name—was born in New York.
Rachel Erlanger,Bloom,672,677,Who were your parents? My mother Augusta Bloom—that was her maiden name—was born in New York.
Esther Vigil,Maria,160,165,"My mother was Maria Teofila Ortiz Lujan, and my father was Pedro Jose Lujan."
Esther Vigil,Ortiz,174,179,"My mother was Maria Teofila Ortiz Lujan, and my father was Pedro Jose Lujan."
Esther Vigil,Pedro,205,210,"My mother was Maria Teofila Ortiz Lujan, and my father was Pedro Jose Lujan."
Esther Vigil,Jose,211,215,"My mother was Maria Teofila Ortiz Lujan, and my father was Pedro Jose Lujan."
Esther Vigil,Lucy,628,632,Alvidrez and their daughter Lucy.
Russell E. Gackenbach,Russell,53,60,"We are here on December 27th, 2016, in Florida, with Russell Gackenbach."
Rachel Bronson,Kelly,10,15,I’m Cindy Kelly.
Rachel Bronson,Rachel,56,62,I have with me Rachel Bronson.
Rachel Bronson,Ken,1020,1023,"It was a very easy offer to accept when my predecessor, Kennette Benedict, left the position."
Rachel Bronson,Benedict,1029,1037,"It was a very easy offer to accept when my predecessor, Kennette Benedict, left the position."
Rachel Bronson,Victor,1722,1728,"What do I mean by that? If you go back and look at the early founders, Victor Rabinowitch [misspoke: Eugene Rabinowitch]in particular, he was asked what theBulletin’sgoals are."
Rachel Bronson,Eugene,1752,1758,"What do I mean by that? If you go back and look at the early founders, Victor Rabinowitch [misspoke: Eugene Rabinowitch]in particular, he was asked what theBulletin’sgoals are."
Henry Frisch,Kelly,10,15,"I’m Cindy Kelly, November   17, 2016, Chicago, Illinois."
Henry Frisch,Henry,72,77,I have with me Henry Frisch.
Henry Frisch,Enrico,553,559,"At the moment, currently engaged in instrumentation,   which is actually a Chicago tradition that dates back to [Enrico] Fermi,   the fact that we build things and we’re very much builders."
Henry Frisch,Jim,754,757,"Jim Cronin, who was my   mentor, who was the reason I came here, was similarly a builder of   things, and a detector developer."
Henry Frisch,Leo,1857,1860,"One of the key people, of course, was Leo Szilard, whose idea of   the chain reaction was — who lived in the Quadrangle Club until they   threw him out for things that can’t be mentioned in public."
Roger Hildebrand,Kelly,10,15,"I’m Cindy Kelly, and it is November 16, 2016."
Roger Hildebrand,Roger,77,82,"I’m in Chicago, Illinois  with Roger Hildebrand."
Roger Hildebrand,Joel,376,380,"My father was Joel Hildebrand, a very distinguished chemist at the University of California."
Roger Hildebrand,Emily,476,481,My mother’s name was Emily.
Roger Hildebrand,Jane,904,908,"Then I went to Berkeley High School, and that’s where I met my wife Jane."
Roger Hildebrand,John,1249,1253,"I had a good friend, John Bogard, who had a beautiful tenor voice, and sometimes he and I sang together."
Roger Hildebrand,Ernest,1661,1667,"Ernest Lawrence asked me—well, he recruited me, and he asked me what I knew about."
Roger Hildebrand,Lawrence,1668,1676,"Ernest Lawrence asked me—well, he recruited me, and he asked me what I knew about."
Roger Hildebrand,Pearl,1849,1854,"” What year were you? Pearl Harbor was bombarded by the Japanese on December 7 [1941] as I recall, and I took my last exams that quarter on December 12."
Ruth Coffin,Kelly,16,21,"I’m Cindy Kelly, and it is Thursday, July 23rd, 2015, and I’m in South Portland, Maine with Ruth Coffin."
Ruth Coffin,Ruth,98,102,"I’m Cindy Kelly, and it is Thursday, July 23rd, 2015, and I’m in South Portland, Maine with Ruth Coffin."
Peter Vandervoort,Kelly,16,21,I’m Cindy Kelly.
Peter Vandervoort,Peter,87,92,"I’m in Chicago, Illinois, and I’m with Peter Vandervoort."
Peter Vandervoort,Van,93,96,"I’m in Chicago, Illinois, and I’m with Peter Vandervoort."
Peter Vandervoort,Oliver,177,183,I would like first to ask Peterto say his name and spell it I am Peter Oliver Vandervoort.
Peter Vandervoort,Samuel,1060,1066,"One of the interesting things: perhaps the first discussion that preceded the Metallurgical Lab occurred, as far as I can tell, in May of 1940 when Samuel Allison gave a talk to the club entitled “U-235 and All That."
Peter Vandervoort,Allison,1067,1074,"One of the interesting things: perhaps the first discussion that preceded the Metallurgical Lab occurred, as far as I can tell, in May of 1940 when Samuel Allison gave a talk to the club entitled “U-235 and All That."
Peter Vandervoort,Leo,1543,1546,An interesting bit of history: Leo Szilard lived in the Quadrangle Club for a few years.
Kennette Benedict,Kelly,10,15,I’m Cindy Kelly.
Kennette Benedict,Ken,81,84,"I have with me Kennette Benedict, and the first thing I’m going to ask her is to say her name and spell it."
Kennette Benedict,Benedict,90,98,"I have with me Kennette Benedict, and the first thing I’m going to ask her is to say her name and spell it."
Kennette Benedict,John,1046,1050,"John Simpson, who was the head of department, was one of the leaders in the Manhattan Project, worked with [Enrico] Fermi and others, with engineers here."
Kennette Benedict,Simpson,1051,1058,"John Simpson, who was the head of department, was one of the leaders in the Manhattan Project, worked with [Enrico] Fermi and others, with engineers here."
Kennette Benedict,Enrico,1154,1160,"John Simpson, who was the head of department, was one of the leaders in the Manhattan Project, worked with [Enrico] Fermi and others, with engineers here."
Kennette Benedict,James,1201,1206,"James Franck was a chemical engineer, who had worked in Germany, who had fled Germany and Austria and came here."
Ruth Howes,Kelly,16,21,I’m Cindy Kelly.
Ruth Howes,Ruth,101,105,I have with me Ruth Howes.
Ruth Howes,Howe,106,110,I have with me Ruth Howes.
Robert Howes Jr.,Kelly,14,19,I’m Cindy Kelly.
Robert Howes Jr.,Robert,93,99,I’m with Robert Howes.
Robert Howes Jr.,Howe,100,104,I’m with Robert Howes.
Robert Howes Jr.,Bob,106,109,"Bob, can you say your full name and spell it for us? : Okay."
Robert Howes Jr.,Richard,1095,1102,Richard Rhodes’sMaking of the Atomic Bombmentions it.
Robert Howes Jr.,Rhodes,1103,1109,Richard Rhodes’sMaking of the Atomic Bombmentions it.
Julie Melton,Kelly,10,15,I’m Cindy Kelly.
Julie Melton,Julie,91,96,I have with me Julie Melton.
Julie Melton,Mel,97,100,I have with me Julie Melton.
Julie Melton,Hawkins,247,254,"I’ve been widowed twice, so I’ve had a lot of last names, but my maiden name was Hawkins."
Julie Melton,Fisher,437,443,"Just to make it complicated, I’ve written books on democratization in the developing world, and I used my pen name Fisher for that."
Julie Melton,Robert,807,813,"Robert] Oppenheimer’s at Berkeley, so there’s the connection with the future job."
John Manley,George,52,58,"In terms of the people who were invited in, I know [George] Kennan."
John Manley,Ken,60,63,"In terms of the people who were invited in, I know [George] Kennan."
John Manley,Omar,2061,2065,"He conveyed that to me with what he had to say during the—I remember him as a person before the GAC [General Advisory Committee], and Omar Bradley was also called in."
John Manley,Bradley,2066,2073,"He conveyed that to me with what he had to say during the—I remember him as a person before the GAC [General Advisory Committee], and Omar Bradley was also called in."
John Manley,David,2259,2264,"One of the things that puzzled me when I got into the business at [David] Lilienthal’s request of really being a member of what was called working committee to work up the AEC [Atomic Energy Commission] position, essentially, on the decision."
Louis Hempelmann,Enrico,195,201,": Did most of the people who came later, were they junior people? That is, younger? [Enrico] Fermi came later."
Louis Hempelmann,George,224,230,: [George] Kistiakowsky came later.
Louis Hempelmann,Leslie,488,494,Oppie was tied up with General [Leslie R.
Louis Hempelmann,Grove,499,504,"] Groves, so Kitty [Oppenheimer] brought him and that was the first time I ever met him."
Louis Hempelmann,Jim,665,668,"Of course, we were mainly friendly with the other doctors, because three of us—Jim Nolan and a man named Henry Barnett, who was a pediatrician—we were all classmates, you see."
Louis Hempelmann,Nolan,669,674,"Of course, we were mainly friendly with the other doctors, because three of us—Jim Nolan and a man named Henry Barnett, who was a pediatrician—we were all classmates, you see."
Louis Hempelmann,Henry,691,696,"Of course, we were mainly friendly with the other doctors, because three of us—Jim Nolan and a man named Henry Barnett, who was a pediatrician—we were all classmates, you see."
Louis Hempelmann,Barnett,697,704,"Of course, we were mainly friendly with the other doctors, because three of us—Jim Nolan and a man named Henry Barnett, who was a pediatrician—we were all classmates, you see."
Louis Hempelmann,Albert,1806,1812,"Henry Barnett, who was a pediatrician, he is at Albert Einstein, I think."
Louis Hempelmann,Einstein,1813,1821,"Henry Barnett, who was a pediatrician, he is at Albert Einstein, I think."
Louis Hempelmann,Toni,1864,1868,"Did he deliver Toni Oppenheimer? No, he was a pediatrician."
Louis Hempelmann,Peter,1950,1955,He took care of Toni and Peter? Yeah.
John Manley,John,42,46,"Good afternoon, this is an interview with John Manley at the Red Onion restaurant, January 9th, 1985, Los Alamos, New Mexico."
John Manley,Robert,414,420,Robert] Oppenheimer? Or is it that? Yes.
John Manley,Stern,711,716,Which one? That’s Stern’s biography of the Oppenheimer case.
Louis Hempelmann,Robert,87,93,Robert Oppenheimer] and how you operated? :  I was working directly under him.
Louis Hempelmann,Toni,1086,1090,This may have been the time that she was pregnant with Toni.
Louis Hempelmann,Laura,1110,1115,"At the same time, Laura Fermi was working for me too, so we had quite a famous group, of wives there, anyway."
Roger Fulling,Leslie,471,477,"In addition to that, I was the major liaison with General [Leslie R."
Roger Fulling,Grove,482,487,] Groves on all the logistics concerned with Hanford.
Roger Fulling,Leslie,90,96,"During the very busy days of constructing the military explosive plants in 1942, General [Leslie] Groves visited the DuPont Company."
Roger Fulling,Grove,98,103,"During the very busy days of constructing the military explosive plants in 1942, General [Leslie] Groves visited the DuPont Company."
Roger Fulling,Walter,181,187,Walter S.
Roger Fulling,Carpenter,191,200,"Carpenter, then president of the company, and members of the Executive Committee of the DuPont Company."
Verna Hobson,Dean,271,275,"It was very embarrassing because we had promised [Dean] Acheson that only one copy would be made, and we made two copies and we kept them."
Verna Hobson,Robert,1188,1194,"What I did was, when I did the handover with Liz— : Liz? : Who was Robert’s secretary for the last few months of his life."
Verna Hobson,Frank,1583,1588,: Do you know anything about the relationship between the Robert Oppenheimers and the Frank Oppenheimers? : Yeah.
Verna Hobson,Jackie,1656,1662,"Kitty didn’t get along with them, especially Jackie."
Carl D. Anderson,Carl,38,42,": This is an interview with Professor Carl Anderson at his home in Pasadena, California, March 31, 1983."
Carl D. Anderson,Anderson,43,51,": This is an interview with Professor Carl Anderson at his home in Pasadena, California, March 31, 1983."
Carl D. Anderson,Martin,113,119,This is Martin Sherwin.
Carl D. Anderson,Robert,151,157,"Robert Oppenheimer]—­ : In the summer of 1926, I was an undergraduate, and Caltech had a travel prize."
Roger Fulling,Leslie,1050,1056,"There was not enough copper, and so [General Leslie] Groves arranged for some precious metals to come out of Fort Knox on loan to help relieve the situation."
Roger Fulling,Grove,1058,1063,"There was not enough copper, and so [General Leslie] Groves arranged for some precious metals to come out of Fort Knox on loan to help relieve the situation."
Vincent and Clare Whitehead,Vincent,1750,1757,When did you get married? Vincent was born in ’46 so it was in October of ’45.
Hal Behl,Kelly,17,22,I am Cindy Kelly.
Hal Behl,Harold,88,94,I’m Harold Behl.
Hal Behl,Hal,130,133,Known as Hal.
Hal Behl,Daniel,1670,1676,"I went to New York University at the Daniel Guggenheim School of Aeronautics, and got a degree in aeronautical engineering."
Elsie McMillan’s Lecture,Edwin,154,159,"This is the very first time I have shared a platform, let alone shared it with my best beau and a Nobel Prize winner [Edwin McMillan]."
Elsie McMillan’s Lecture,Edith,1056,1061,"Ed, you told me that’s where Miss [Edith] Warner lives in that little adobe."
Elsie McMillan’s Lecture,Warner,1063,1069,"Ed, you told me that’s where Miss [Edith] Warner lives in that little adobe."
Elsie McMillan’s Lecture,Lord,1162,1166,"Oh, Lord, I’m getting sick."
Elsie McMillan’s Lecture,Ann,1651,1654,"Ann’s only two months old, she doesn’t need it? Oh, I guess not."
Edwin McMillan’s Lecture,Arthur,1301,1307,"Navy Radio and Sound Laboratory in San Diego working on sonar when I got a telegram from Arthur Compton at Chicago, asking me to come to a meeting one week later to meet with [J."
Edwin McMillan’s Lecture,Compton,1308,1315,"Navy Radio and Sound Laboratory in San Diego working on sonar when I got a telegram from Arthur Compton at Chicago, asking me to come to a meeting one week later to meet with [J."
Edwin McMillan’s Lecture,Robert,1391,1397,"Robert] Oppenheimer and John Manley, [Enrico] Fermi and others, the telegram says."
Edwin McMillan’s Lecture,John,1415,1419,"Robert] Oppenheimer and John Manley, [Enrico] Fermi and others, the telegram says."
Edwin McMillan’s Lecture,Enrico,1429,1435,"Robert] Oppenheimer and John Manley, [Enrico] Fermi and others, the telegram says."
Edwin McMillan’s Lecture,Ernest,1547,1553,"I am sure Ernest Lawrence was there and there were others, but those names were in the telegram so I have them down."
Edwin McMillan’s Lecture,Lawrence,1554,1562,"I am sure Ernest Lawrence was there and there were others, but those names were in the telegram so I have them down."
Edwin McMillan’s Lecture,Leslie,1959,1965,"Namely, on September 17, exactly one year from the ending date, General [Leslie] Groves joined the project."
Edwin McMillan’s Lecture,Grove,1967,1972,"Namely, on September 17, exactly one year from the ending date, General [Leslie] Groves joined the project."
Edwin McMillan’s Lecture,Berkeley,2233,2241,"I had already been approached by Lawrence in Berkeley, who wanted me to come and help him in his isotope separation work."
Harold Cherniss,Robert,145,151,Robert] Oppenheimer.
Harold Cherniss,Meyer,432,437,": Your wife’s maiden name? Meyer, M-E-Y-E-R, and the families had known each other long before, in the preceding generation."
Baldwin Sawyer,Kelly,10,15,"I’m Cindy Kelly, Atomic Heritage Foundation, and it is Wednesday, August 24th, 2016."
Baldwin Sawyer,Baldwin,137,144,Baldwin Sawyer.
Baldwin Sawyer,Sawyer,145,151,Baldwin Sawyer.
Baldwin Sawyer,Peggy,1145,1150,"My mother had two children: me and my sister, Peggy."
Baldwin Sawyer,Irving,1287,1293,"At some time after Peggy was born, she traveled, left my father, took both her children to New Haven, where her parents were living in Irving Fisher’s house."
Baldwin Sawyer,Fisher,1294,1300,"At some time after Peggy was born, she traveled, left my father, took both her children to New Haven, where her parents were living in Irving Fisher’s house."
Baldwin Sawyer,Carl,1589,1593,"Well, this psychologist, whom I never met, referred my mother to Carl Jung in Zurich, and thereupon, Mother moved and spent most of the rest of her life working with Carl Jung."
Geoffrey Chew,Kelly,17,22,"Okay, I am Cindy Kelly."
Geoffrey Chew,Geoffrey,100,108,Geoffrey Chew.
Robert Bacher,Con,146,149,I convinced Ed Condon almost immediately.
Robert Bacher,Robert,896,902,Robert] Oppenheimer did.
Robert R. Wilson,Owen,29,33,This is an interview between Owen Gingerich and Robert Wilson.
Robert R. Wilson,Robert,48,54,This is an interview between Owen Gingerich and Robert Wilson.
Robert R. Wilson,Wilson,55,61,This is an interview between Owen Gingerich and Robert Wilson.
Robert R. Wilson,Shakespeare,364,375,"No, it’s Shakespeare’s birthday."
Robert R. Wilson,Ernest,952,958,Who was your thesis advisor? You were working on— Ernest Lawrence.
Robert R. Wilson,Lawrence,959,967,Who was your thesis advisor? You were working on— Ernest Lawrence.
Joseph Papalia,Levy,20,24,": This is Alexandra Levy of the Atomic Heritage Foundation here in New Jersey on June 13, 2016, with Joseph Papalia."
Joseph Papalia,Joseph,101,107,": This is Alexandra Levy of the Atomic Heritage Foundation here in New Jersey on June 13, 2016, with Joseph Papalia."
Joseph Papalia,George,962,968,"The first person I met who was part of that 509thComposite Group—I met him initially over the phone—was [George] “Bob” Caron, the tail gunner on theEnola Gay."
Joseph Papalia,Bob,971,974,"The first person I met who was part of that 509thComposite Group—I met him initially over the phone—was [George] “Bob” Caron, the tail gunner on theEnola Gay."
Joseph Papalia,Car,976,979,"The first person I met who was part of that 509thComposite Group—I met him initially over the phone—was [George] “Bob” Caron, the tail gunner on theEnola Gay."
Joseph Papalia,Fred,1501,1505,"Then from him I got involved with other guys, primarily Fred Olivi, who was the second copilot onBockscar."
Marvin Wilkening,Marvin,54,60,"—Is part of an interview, which I held with Professor Marvin Wilkening at his home on Socorro, New Mexico on July 15, 1995."
Marvin Wilkening,Enrico,267,273,"Was your first work with [Enrico] Fermi at Chicago? At Chicago, and that was the first reactor there at first."
Esther Floth,Kelly,17,22,"Okay, I am Cindy Kelly, Atomic Heritage Foundation."
Esther Floth,Esther,123,129,I have with me Esther Floth.
Esther Floth,Marie,237,242,My name is Esther Marie Green Floth.
Esther Floth,Green,243,248,My name is Esther Marie Green Floth.
Esther Floth,Louise,559,565,I was the only child of Marla Louise and James Green.
Esther Floth,James,570,575,I was the only child of Marla Louise and James Green.
Esther Floth,Harry,1105,1110,"[Harry] Hovey in Geneva, New York."
Roy Glauber,Roy,12,15,": Professor Roy Glauber is a physicist, a physicist who had an early start in physics because when he was still an undergraduate at Harvard, it was during World War II."
Roy Glauber,Robert,474,480,"Of course there in Los Alamos, Robert Oppenheimer was the director."
Lee DuBridge,Glenn,772,777,"You know who all they were, [Glenn] Seaborg, [Enrico] Fermi, [James B."
Lee DuBridge,Enrico,789,795,"You know who all they were, [Glenn] Seaborg, [Enrico] Fermi, [James B."
Lee DuBridge,James,805,810,"You know who all they were, [Glenn] Seaborg, [Enrico] Fermi, [James B."
Lee DuBridge,John,852,856,"John Manley was Secretary? Yes, uh-huh, yeah."
Norris Bradbury,Norris,48,54,": Okay, this is the middle of an interview with Norris Bradbury."
Norris Bradbury,Brad,55,59,": Okay, this is the middle of an interview with Norris Bradbury."
Louis Hempelmann,Robert,9,15,Robert Oppenheimer] just told me what the situation was.
Louis Hempelmann,Peter,895,900,There was also a great deal of difficulty between Kitty and Peter [Oppenheimer].
Louis Hempelmann,Louis,1542,1547,"We used to go down there and they would say, “Peter, show  Louis your darkroom."
Louis Hempelmann,Virginia,1968,1976,He met and married Virginia.
Verna Hobson,Robert,120,126,"Robert Oppenheimer’s security hearing] would have? That “They will probably be thinking this, so therefore we should do that?” Do you recall any of that? : No."
Verna Hobson,Ward,602,606,"What came out then was, that the only member of the Gray Board that they felt had any sympathy at all was [Ward V."
Verna Hobson,Evans,611,616,] Evans.
Verna Hobson,Lloyd,1201,1206,": Was [Lloyd K] Garrison over at the house that weekend, or did he stay in Washington, or New York? : I cannot remember if this was that weekend, but I remember a weekend that was either that weekend or the one just before, when Garrison was there and lots of people were there."
Verna Hobson,Garrison,1210,1218,": Was [Lloyd K] Garrison over at the house that weekend, or did he stay in Washington, or New York? : I cannot remember if this was that weekend, but I remember a weekend that was either that weekend or the one just before, when Garrison was there and lots of people were there."
Jean Bacher,Ruth,2,6,": Ruth Valentinesaid, “I shall take Ruth [Tolman]’s desk."
Jean Bacher,Valentine,7,16,": Ruth Valentinesaid, “I shall take Ruth [Tolman]’s desk."
Jean Bacher,Robert,121,127,"She had marvelous long letters from Robert, you know, especially at the time of the hearings."
Jean Bacher,Alice,861,866,I didn’t realize until Alice [Kimball Smith] told me that that’s where they were.
Jean Bacher,Smith,876,881,I didn’t realize until Alice [Kimball Smith] told me that that’s where they were.
Jean Bacher,Richard,1050,1057,"Is there any Richard Tolmanstuff? : Well, Judy [Tolman Tyrell, the Tolmans’ daughter] has a lot of that."
Jean Bacher,Bob,1885,1888,Bob’s family had a cottage out near the lake west of Ann Arbor.
Jean Bacher,Ann,1938,1941,Bob’s family had a cottage out near the lake west of Ann Arbor.
Haakon Chevalier,Robert,71,77,Robert] Oppenheimer’s summer in Corsica.
Robert Bacher,Martin,10,16,: This is Martin Sherwin.
Robert Bacher,Robert,85,91,I am going to interview Professor Robert F.
Robert Serber,Robert,17,23,I’m interviewing Robert Serber at his home in New York City.
Robert Serber,John,222,226,"Let me just begin at the beginning and ask you, how did you get to Berkeley? Why did you go there? I got my degree at Wisconsin with [John] Van Vleck, and that was ’34."
Robert Serber,Van,228,231,"Let me just begin at the beginning and ask you, how did you get to Berkeley? Why did you go there? I got my degree at Wisconsin with [John] Van Vleck, and that was ’34."
Robert Serber,Abraham,842,849,"[Abraham] Flexner was the chairman, and there was [Robert] Millikan and Compton."
Robert Serber,Compton,913,920,"[Abraham] Flexner was the chairman, and there was [Robert] Millikan and Compton."
Robert Serber,Arthur,922,928,Arthur? Arthur Compton and [Roger] Adams and [Floyd K.
Robert Serber,Roger,950,955,Arthur? Arthur Compton and [Roger] Adams and [Floyd K.
Robert Serber,Adams,957,962,Arthur? Arthur Compton and [Roger] Adams and [Floyd K.
Robert Serber,Floyd,968,973,Arthur? Arthur Compton and [Roger] Adams and [Floyd K.
Robert Serber,Rich,978,982,] Richtmyer and [Theodore] Burkhardt and [Gilbert] Bliss.
Robert Serber,Theodore,993,1001,] Richtmyer and [Theodore] Burkhardt and [Gilbert] Bliss.
Robert Serber,Gilbert,1018,1025,] Richtmyer and [Theodore] Burkhardt and [Gilbert] Bliss.
Robert Serber,Bliss,1027,1032,] Richtmyer and [Theodore] Burkhardt and [Gilbert] Bliss.
Robert Serber,Eugene,1484,1490,Van [Vleck] suggested that I go to work with [Eugene] Wigner at Princeton.
Robert Serber,Ann,1676,1679,"But we stopped to go to the Ann Arbor summer school, which of course has quite a role in the history of American physics."
Dorothy Ritter,Dorothy,138,145,My name is Dorothy Oley Ritter.
Dorothy Ritter,Ritter,151,157,My name is Dorothy Oley Ritter.
Dorothy Ritter,Ridge,1650,1655,We had an exciting time going down to Oak Ridge.
William A. Fowler,Martin,10,16,": This is Martin Sherwin, I’m on my way to interview William Fowler at Caltech in Pasadena."
William A. Fowler,William,53,60,": This is Martin Sherwin, I’m on my way to interview William Fowler at Caltech in Pasadena."
William A. Fowler,Fowler,61,67,": This is Martin Sherwin, I’m on my way to interview William Fowler at Caltech in Pasadena."
William A. Fowler,Robert,290,296,"I got to know Robert immediately, because he, in those days, had a joint appointment at Caltech and at [the University of California,] Berkeley."
William A. Fowler,Richard,1791,1798,But he left the theory of what was done largely up to Robert Oppenheimer and to a certain extent to Richard Tolman.
Jack Widowsky,Jack,45,49,: We are here on June 13thin New Jersey with Jack Widowsky.
Jack Widowsky,Alex,68,72,This is Alex Levy with the Atomic Heritage Foundation.
Jack Widowsky,Levy,73,77,This is Alex Levy with the Atomic Heritage Foundation.
Stanislaus Ulam,Robert,719,725,Robert] Oppenheimer.
Stanislaus Ulam,John,906,910,"It was [John] von Neumann and Bethe, Hans Bethe."
Stanislaus Ulam,von,912,915,"It was [John] von Neumann and Bethe, Hans Bethe."
Stanislaus Ulam,Neumann,916,923,"It was [John] von Neumann and Bethe, Hans Bethe."
Stanislaus Ulam,Beth,928,932,"It was [John] von Neumann and Bethe, Hans Bethe."
Stanislaus Ulam,Hans,935,939,"It was [John] von Neumann and Bethe, Hans Bethe."
Stanislaus Ulam,Edward,1956,1962,There was a group of [Edward] Teller’s.
